,id,label,value
5230,v000607,SCALE: 7. BRANCHING: Increase defense,5
6171,v000607,DK,8
1470,v000608,FTF standard version,1
2413,v000608,FTF experimental version,2
3371,v000608,PHONE version 1,3
4326,v000608,PHONE version 2,4
1471,v000608a,GOVT INSURANCE PLAN,1
2414,v000608a,2,2
3372,v000608a,3,3
4327,v000608a,4,4
5231,v000608a,5,5
6172,v000608a,6,6
7120,v000608a,PRIVATE INSURANCE PLAN,7
877,v000608a,HAVEN'T THOUGHT MUCH,0
955,v000608a,DK,8
1045,v000608a,"RF. NA. INAP, 2, 3, 4 in L3(1)",9
1472,v000608b,PRIVATE INSURANCE PLAN,1
2415,v000608b,2,2
3373,v000608b,3,3
4328,v000608b,4,4
5232,v000608b,5,5
6173,v000608b,6,6
7121,v000608b,GOVT INSURANCE PLAN,7
878,v000608b,HAVEN'T THOUGHT MUCH ABOUT THIS,0
956,v000608b,DK,8
1046,v000608b,"RF. NA. INAP, 1, 3, 4 in L3(1)",9
1473,v000609,GOVT INSURANCE PLAN,1
7122,v000609,PRIVATE INSURANCE PLAN,7
879,v000609,HAVEN'T THOUGHT MUCH,0
957,v000609,DK,8
1047,v000609,"RF. NA. INAP, phone mode (3, 4 in L3(",9
1474,v000610a,SHOULD BE A GOVT INSURANCE PLAN,1
2416,v000610a,INDIVIDUALS SHOULD PAY MEDICAL EXPENS,5
3374,v000610a,SHOULD STAY THE SAME AS IT IS NOW (VO,7
4329,v000610a,HAVEN'T THOUGHT MUCH ABOUT THIS,0
5233,v000610a,DK,8
6174,v000610a,"RF. NA. INAP, 1, 2, 4 in L3(1)",9
1475,v000610b,INDIVIDUALS SHOULD PAY MEDICAL EXPENS,1
2417,v000610b,SHOULD BE A GOVT INSURANCE PLAN,5
3375,v000610b,SHOULD STAY THE SAME AS IT IS NOW,7
4330,v000610b,HAVEN'T THOUGHT MUCH ABOUT THIS,0
5234,v000610b,DK,8
6175,v000610b,"RF. NA. INAP, 1, 2, 3 in L3(1)",9
1476,v000611,SHOULD BE A GOVT INSURANCE PLAN,1
2418,v000611,INDIVIDUALS SHOULD PAY MEDICAL EXPENS,5
3376,v000611,SHOULD STAY THE SAME AS IT IS NOW (VO,7
4331,v000611,HAVEN'T THOUGHT MUCH ABOUT THIS,0
5235,v000611,DK,8
6176,v000611,"RF. NA. INAP, FTF mode (1,2 in L3(1))",9
1477,v000612,STRONGLY,1
2419,v000612,NOT STRONGLY,5
3377,v000612,"NA. INAP, FTF mode. 7,8,0 or RF/NA in",0
4332,v000612,DK,8
5236,v000612,RF,9
1478,v000613,Strongly - government insurance plan,1
2420,v000613,Not strongly - government insurance p,2
3378,v000613,Stay the same as it is now,3
4333,v000613,Not strongly - individual insurance,4
5237,v000613,Strongly - individual insurance,5
6177,v000613,HAVEN'T THOUGHT MUCH ABOUT THIS,0
7123,v000613,DK,8
880,v000613,"RF. NA. INAP, FTF mode (1,2 in L3(1))",9
1479,v000614,SCALE: 1 / BRANCHING: Strongly - govt,1
2421,v000614,SCALE: 2 / BRANCHING: Not strongly -,2
3379,v000614,"SCALE: 3,4,5 . BRANCHING: Stay the sa",3
4334,v000614,SCALE: 6 / BRANCHING: Not strongly -,4
5238,v000614,SCALE: 7 / BRANCHING: Strongly - indi,5
6178,v000614,HAVEN'T THOUGHT MUCH ABOUT THIS,0
7124,v000614,DK,8
883,v000614,RF. NA,9
1480,v000615,GOVT SHOULD SEE TO JOBS AND STANDARD,1
7125,v000615,GOVT SHOULD LET EACH PERSON GET AHEAD,7
884,v000615,HAVEN'T THOUGHT MUCH ABOUT THIS,0
958,v000615,DK,8
1048,v000615,"RF. NA. INAP, Phone mode",9
1481,v000616,GOVT SHOULD SEE TO JOBS AND STANDARD,1
2422,v000616,GOVT SHOULD LET EACH PERSON GET AHEAD,5
3380,v000616,"OTHER, IT DEPENDS, NEITHER (VOL)",7
4335,v000616,HAVEN'T THOUGHT MUCH ABOUT THIS,0
5239,v000616,DK,8
6179,v000616,"RF. NA. INAP, FTF mode",9
1482,v000617,STRONGLY,1
2423,v000617,NOT STRONGLY,5
3381,v000617,"NA. INAP, FTF mode. 5,7,8,9,0 in L4a.",0
4336,v000617,DK,8
1483,v000618,STRONGLY,1
2424,v000618,NOT STRONGLY,5
3382,v000618,"NA. INAP, FTF mode. 1,7,8,9,0 in L4a.",0
1484,v000619,Strongly - govt see to jobs & std liv,1
2425,v000619,Not strongly - govt see to jobs & std,2
3383,v000619,Other/depends/neither,3
4337,v000619,Not strongly - govt leave people on o,4
5240,v000619,Strongly - govt leave people on own,5
6180,v000619,HAVEN'T THOUGHT MUCH ABOUT THIS,0
7126,v000619,DK,8
885,v000619,"RF. NA. INAP, FTF mode",9
1485,v000620,SCALE: 1 / BRANCHING: Strongly - govt,1
2426,v000620,SCALE: 2 / BRANCHING: Not strongly -,2
3384,v000620,"SCALE: 3,4,5 / BRANCHING: Other/depen",3
4338,v000620,SCALE: 6 / BRANCHING: Not strongly -,4
5241,v000620,SCALE: 7 / BRANCHING: Strongly - govt,5
6181,v000620,HAVEN'T THOUGHT MUCH ABOUT THIS,0
7127,v000620,DK,8
886,v000620,RF. NA,9
1486,v000621,GOVT SHOULD SEE TO JOBS AND,1
7128,v000621,GOVT SHOULD LET EACH PERSON,7
887,v000621,"NA. INAP, Phone mode",0
959,v000621,DK,8
1049,v000621,RF,9
1487,v000622,GOVT SHOULD SEE TO JOBS AND,1
2427,v000622,GOVT SHOULD LET EACH PERSON GET,5
3385,v000622,OTHER/IT DEPENDS/NEITHER (VOL),7
4339,v000622,"NA. INAP, FTF mode",0
5242,v000622,DK,8
6182,v000622,RF,9
1488,v000623,STRONGLY,1
2428,v000623,NOT STRONGLY,5
3386,v000623,"NA. INAP, FTF mode. 7,8,9,0 in L4b.T",0
4340,v000623,DK,8
1489,v000624,Strongly - govt see to jobs & std liv,1
2429,v000624,Not strongly - govt see to jobs & std,2
3387,v000624,Other/depends/neither,3
4341,v000624,Not strongly - govt leave people on o,4
5243,v000624,Strongly - govt leave people on own,5
6183,v000624,"NA. INAP, FTF mode",0
7129,v000624,DK,8
888,v000624,RF,9
1490,v000625,SCALE: 1 / BRANCHING: Strongly - govt,1
2430,v000625,SCALE: 2 / BRANCHING: Not strongly -,2
3388,v000625,"SCALE: 3,4,5 / BRANCHING: Other/depen",3
4342,v000625,SCALE: 6 / BRANCHING: Not strongly -,4
5244,v000625,SCALE: 7 / BRANCHING: Strongly - govt,5
6184,v000625,DK,8
7130,v000625,RF,9
1491,v000626,GOVT SHOULD SEE TO JOBS AND STANDARD,1
7131,v000626,GOVT SHOULD LET EACH PERSON GET AHEAD,7
889,v000626,"NA. INAP, Phone mode",0
960,v000626,DK,8
1050,v000626,RF,9
1492,v000627,GOVT SHOULD SEE TO JOBS AND,1
2431,v000627,GOVT SHOULD LET EACH PERSON GET,5
3389,v000627,OTHER/IT DEPENDS/NEITHER (VOL),7
4343,v000627,"NA. INAP, FTF mode",0
5245,v000627,DK,8
6185,v000627,RF,9
1493,v000628,STRONGLY,1
2432,v000628,NOT STRONGLY,5
3390,v000628,"NA. INAP, FTF mode. 7,8,9,0 in L4c.T",0
4344,v000628,DK,8
1494,v000629,Strongly - govt see to jobs & std liv,1
2433,v000629,Not strongly - govt see to jobs & std,2
3391,v000629,Other/depends/neither,3
4345,v000629,Not strongly - govt leave people on o,4
5246,v000629,Strongly - govt leave people on own,5
6186,v000629,"NA. INAP, FTF mode",0
7132,v000629,DK,8
890,v000629,RF,9
1495,v000630,SCALE: 1 / BRANCHING: Strongly - govt,1
2434,v000630,SCALE: 2 / BRANCHING: Not strongly -,2
3392,v000630,"SCALE: 3,4,5 / BRANCHING: Other/depen",3
4346,v000630,SCALE: 6 / BRANCHING: Not strongly -,4
5247,v000630,SCALE: 7 / BRANCHING: Strongly - govt,5
6187,v000630,DK,8
7133,v000630,RF,9
1496,v000631,GOVT SHOULD SEE TO JOBS AND STANDARD,1
7134,v000631,GOVT SHOULD LET EACH PERSON GET AHEAD,7
893,v000631,"NA. INAP, Phone mode",0
962,v000631,DK,8
1051,v000631,RF,9
1497,v000632,GOVT SHOULD SEE TO JOBS AND,1
2435,v000632,GOVT SHOULD LET EACH PERSON GET,5
3393,v000632,OTHER/IT DEPENDS/NEITHER (VOL),7
4347,v000632,"NA. INAP, FTF mode",0
5248,v000632,DK,8
6188,v000632,RF,9
1498,v000633,STRONGLY,1
2436,v000633,NOT STRONGLY,5
3394,v000633,"NA. INAP, FTF mode. 7,8,9,0 in L4d.T",0
4348,v000633,DK,8
1499,v000634,Strongly - govt see to jobs & std liv,1
2437,v000634,Not strongly - govt see to jobs & std,2
3395,v000634,Other/depends/neither,3
4349,v000634,Not strongly - govt leave people on o,4
5249,v000634,Strongly - govt leave people on own,5
6189,v000634,"NA. INAP, FTF mode",0
7135,v000634,DK,8
894,v000634,RF,9
1500,v000635,SCALE: 1 / BRANCHING: Strongly - govt,1
2438,v000635,SCALE: 2 / BRANCHING: Not strongly -,2
3396,v000635,"SCALE: 3,4,5 / BRANCHING: Other/depen",3
4350,v000635,SCALE: 6 / BRANCHING: Not strongly -,4
5250,v000635,SCALE: 7 / BRANCHING: Strongly - govt,5
6190,v000635,DK,8
7136,v000635,RF,9
1501,v000636,GOVT SHOULD SEE TO JOBS AND STANDARD,1
7137,v000636,GOVT SHOULD LET EACH PERSON GET AHEAD,7
895,v000636,"NA. INAP, Phone mode",0
963,v000636,DK,8
1052,v000636,RF,9
1502,v000637,GOVT SHOULD SEE TO JOBS AND STANDARD,1
2439,v000637,GOVT SHOULD LET EACH PERSON GET AHEAD,5
3397,v000637,OTHER/IT DEPENDS/NEITHER (VOL),7
4351,v000637,"NA. INAP, FTF mode",0
5251,v000637,DK,8
6191,v000637,RF,9
1503,v000638,STRONGLY,1
2440,v000638,NOT STRONGLY,5
3398,v000638,"NA. INAP, FTF mode. 7,8,9,0 in L4e.T",0
4352,v000638,DK,8
1504,v000639,Strongly - govt see to jobs & std liv,1
2441,v000639,Not strongly - govt see to jobs & std,2
3399,v000639,Other/depends/neither,3
4353,v000639,Not strongly - govt leave people on o,4
5252,v000639,Strongly - govt leave people on own,5
6192,v000639,"NA. INAP, FTF mode",0
7138,v000639,DK,8
896,v000639,RF,9
1505,v000640,SCALE: 1 / BRANCHING: Strongly - govt,1
2442,v000640,SCALE: 2 / BRANCHING: Not strongly -,2
3400,v000640,"SCALE: 3,4,5 / BRANCHING: Other/depen",3
4354,v000640,SCALE: 6 / BRANCHING: Not strongly -,4
5253,v000640,SCALE: 7 / BRANCHING: Strongly - govt,5
6193,v000640,DK,8
7139,v000640,RF,9
1506,v000641,GOVT SHOULD HELP BLACKS,1
2443,v000641,2,2
3401,v000641,3,3
4355,v000641,4,4
5254,v000641,5,5
6194,v000641,6,6
7140,v000641,BLACKS SHOULD HELP THEMSELVES,7
897,v000641,HAVEN'T THOUGHT MUCH ABOUT THIS,0
964,v000641,DK,8
1053,v000641,"RF. NA. INAP, Phone mode",9
1507,v000642,GOVT SHOULD HELP BLACKS,1
2444,v000642,BLACKS SHOULD HELP THEMSELVES,5
3402,v000642,"OTHER, IT DEPENDS, NEITHER (VOL)",7
4356,v000642,HAVEN'T THOUGHT MUCH ABOUT THIS,0
5255,v000642,DK,8
6195,v000642,"RF. NA. INAP, FTF mode",9
1508,v000643,GREAT EXTENT,1
2445,v000643,ONLY SOME,5
3403,v000643,"NA. INAP, FTF mode. 7,8,9,0 in L5a.T",0
4357,v000643,DK,8
1509,v000644,Govt help blacks to great extent,1
2446,v000644,Govt help blacks to some extent,2
3404,v000644,Other/neither/depends,3
4358,v000644,Should help themselves to some extent,4
5256,v000644,Should help themselves to a great ext,5
6196,v000644,Haven't thought much about it,0
7141,v000644,DK,8
898,v000644,"RF. NA. INAP, FTF mode",9
2447,v000645,SCALE: 2 / BRANCHING: Govt help black,2
3405,v000645,"SCALE: 3,4,5 / BRANCHING: Other/neith",3
4359,v000645,SCALE: 6 / BRANCHING: Should help the,4
5257,v000645,SCALE: 7 / BRANCHING: Should help the,5
6197,v000645,Haven't thought much about it,0
7142,v000645,DK,8
899,v000645,"RF. NA. INAP, FTF mode",9
1513,v000646,GOVT SHOULD HELP BLACKS,1
2448,v000646,2,2
3406,v000646,3,3
4360,v000646,4,4
5258,v000646,5,5
6198,v000646,6,6
7143,v000646,BLACKS SHOULD HELP THEMSELVES,7
8100,v000646,"NA. INAP, Phone mode",0
965,v000646,DK,8
1054,v000646,RF,9
1514,v000647,GOVT SHOULD HELP BLACKS,1
2449,v000647,BLACKS SHOULD HELP THEMSELVES,5
3407,v000647,OTHER/IT DEPENDS/NEITHER (VOL),7
4361,v000647,"NA. INAP, FTF mode",0
5259,v000647,DK,8
6199,v000647,RF,9
1515,v000648,GREAT EXTENT,1
2450,v000648,ONLY SOME,5
3408,v000648,"NA. INAP, FTF mode. 7,8,9,0 in L5b.T",0
4362,v000648,DK,8
1516,v000649,Govt help blacks to great extent,1
2451,v000649,Govt help blacks to some extent,2
3409,v000649,Other/neither/depends,3
4363,v000649,Should help themselves to some extent,4
5260,v000649,Should help themselves to a great ext,5
6200,v000649,"NA. INAP, FTF mode",0
7144,v000649,DK,8
8101,v000649,RF,9
1517,v000650,SCALE: 1 / BRANCHING: Govt help black,1
2452,v000650,SCALE: 2 / BRANCHING: Govt help black,2
3413,v000650,"SCALE: 3,4,5 / BRANCHING: Other/neith",3
4364,v000650,SCALE: 6 / BRANCHING: Should help the,4
5261,v000650,SCALE: 7 / BRANCHING: Should help the,5
6201,v000650,DK,8
7145,v000650,RF,9
1518,v000651,GOVT SHOULD HELP BLACKS,1
2453,v000651,2,2
3414,v000651,3,3
4365,v000651,4,4
5262,v000651,5,5
6202,v000651,6,6
7146,v000651,BLACKS SHOULD HELP THEMSELVES,7
8102,v000651,"NA. INAP, Phone mode",0
966,v000651,DK,8
1055,v000651,RF,9
1519,v000652,GOVT SHOULD HELP BLACKS,1
2454,v000652,BLACKS SHOULD HELP THEMSELVES,5
3415,v000652,OTHER/IT DEPENDS/NEITHER (VOL),7
4366,v000652,"NA. INAP, FTF mode",0
5263,v000652,DK,8
6203,v000652,RF,9
1520,v000653,GREAT EXTENT,1
2455,v000653,ONLY SOME,5
3416,v000653,"NA. INAP, FTF mode. 7,8,9,0 in L5c.T",0
4367,v000653,DK,8
1521,v000654,Govt help blacks to great extent,1
2456,v000654,Govt help blacks to some extent,2
3417,v000654,Other/neither/depends,3
4368,v000654,Should help themselves to some extent,4
5264,v000654,Should help themselves to a great ext,5
6204,v000654,"NA. INAP, FTF mode",0
7147,v000654,DK,8
8103,v000654,RF,9
1522,v000655,SCALE: 1 / BRANCHING: Govt help black,1
2457,v000655,SCALE: 2 / BRANCHING: Govt help black,2
3418,v000655,"SCALE: 3,4,5 / BRANCHING: Other/neith",3
4369,v000655,SCALE: 6 / BRANCHING: Should help the,4
5265,v000655,SCALE: 7 / BRANCHING: Should help the,5
6205,v000655,DK,8
7148,v000655,RF,9
1523,v000656,GOVT SHOULD HELP BLACKS,1
2458,v000656,2,2
3419,v000656,3,3
4370,v000656,4,4
5266,v000656,5,5
6206,v000656,6,6
7149,v000656,BLACKS SHOULD HELP THEMSELVES,7
8104,v000656,"NA. INAP, Phone mode",0
967,v000656,DK,8
1056,v000656,RF,9
1524,v000657,GOVT SHOULD HELP BLACKS,1
2459,v000657,BLACKS SHOULD HELP THEMSELVES,5
3420,v000657,OTHER/IT DEPENDS/NEITHER (VOL),7
4371,v000657,"NA. INAP, FTF mode",0
5267,v000657,DK,8
6207,v000657,RF,9
1525,v000658,GREAT EXTENT,1
2460,v000658,ONLY SOME,5
3421,v000658,"NA. INAP, FTF mode. 7,8,9,0 in L5d.T",0
4372,v000658,DK,8
1526,v000659,Govt help blacks to great extent,1
2461,v000659,Govt help blacks to some extent,2
3422,v000659,Other/neither/depends,3
4373,v000659,Should help themselves to some extent,4
5268,v000659,Should help themselves to a great ext,5
6208,v000659,"NA. INAP, FTF mode",0
7150,v000659,DK,8
8105,v000659,RF,9
1527,v000660,SCALE: 1 / BRANCHING: Govt help black,1
2462,v000660,SCALE: 2 / BRANCHING: Govt help black,2
3423,v000660,"SCALE: 3,4,5 / BRANCHING: Other/neith",3
4374,v000660,SCALE: 6 / BRANCHING: Should help the,4
5269,v000660,SCALE: 7 / BRANCHING: Should help the,5
6209,v000660,DK,8
7151,v000660,RF,9
1528,v000661,GOVT SHOULD HELP BLACKS,1
2463,v000661,2,2
3424,v000661,3,3
4375,v000661,4,4
5270,v000661,5,5
6212,v000661,6,6
7152,v000661,BLACKS SHOULD HELP,7
8106,v000661,"NA. INAP, Phone mode",0
968,v000661,DK,8
1057,v000661,RF,9
1529,v000662,GOVT SHOULD HELP BLACKS,1
2464,v000662,BLACKS SHOULD HELP THEMSELVES,5
3425,v000662,OTHER/IT DEPENDS/NEITHER (VOL),7
4376,v000662,"NA. INAP, FTF mode",0
5271,v000662,DK,8
6213,v000662,RF,9
1530,v000663,GREAT EXTENT,1
2465,v000663,ONLY SOME,5
3426,v000663,"NA. INAP, FTF mode. 7,8,9,0 in L5e.T",0
4377,v000663,DK,8
1531,v000664,Govt help blacks to great extent,1
2466,v000664,Govt help blacks to some extent,2
3427,v000664,Other/neither/depends,3
4378,v000664,Should help themselves to some extent,4
5272,v000664,Should help themselves to a great ext,5
6214,v000664,"NA. INAP, FTF mode",0
7153,v000664,DK,8
8107,v000664,RF,9
2467,v000665,SCALE: 2 / BRANCHING: Govt help black,2
3428,v000665,"SCALE: 3,4,5 / BRANCHING: Other/neith",3
4379,v000665,SCALE: 6 / BRANCHING: Should help the,4
5273,v000665,SCALE: 7 / BRANCHING: Should help the,5
6215,v000665,DK,8
7154,v000665,RF,9
1532,v000666,GOVT SHOULD HELP BLACKS,1
2468,v000666,2,2
3429,v000666,3,3
4380,v000666,4,4
5274,v000666,5,5
6216,v000666,6,6
7155,v000666,BLACKS SHOULD HELP THEMSELVES,7
8108,v000666,"NA. INAP, Phone mode",0
969,v000666,DK,8
1058,v000666,RF,9
1533,v000667,GOVT SHOULD HELP BLACKS,1
2469,v000667,BLACKS SHOULD HELP THEMSELVES,5
3430,v000667,OTHER/IT DEPENDS/NEITHER (VOL),7
4381,v000667,"NA. INAP, FTF mode",0
5275,v000667,DK,8
6217,v000667,RF,9
1534,v000668,GREAT EXTENT,1
2470,v000668,ONLY SOME,5
3431,v000668,"NA. INAP, FTF mode. 7,8,9,0 in L5f.T",0
1535,v000669,Govt help blacks to great extent,1
2471,v000669,Govt help blacks to some extent,2
3432,v000669,Other/neither/depends,3
4382,v000669,Should help themselves to some extent,4
5276,v000669,Should help themselves to a great ext,5
6218,v000669,"NA. INAP, FTF mode",0
7156,v000669,DK,8
8109,v000669,RF,9
1536,v000670,SCALE: 1 / BRANCHING: Govt help black,1
2472,v000670,SCALE: 2 / BRANCHING: Govt help black,2
3433,v000670,"SCALE: 3,4,5 / BRANCHING: Other/neith",3
4383,v000670,SCALE: 6 / BRANCHING: Should help the,4
5277,v000670,SCALE: 7 / BRANCHING: Should help the,5
6219,v000670,DK,8
7157,v000670,RF,9
1537,v000671a,"YES, THEY SHOULD HAVE TO HAVE",1
2473,v000671a,"NO, THEY SHOULD NOT HAVE TO HAVE",5
3434,v000671a,OTHER (SPECIFY) (VOL),7
4384,v000671a,"NA. INAP, R selected for L6.E",0
5278,v000671a,DK,8
6220,v000671a,RF,9
1538,v000671b,"YES, THEY SHOULD HAVE TO HAVE",1
2474,v000671b,"NO, THEY SHOULD NOT HAVE TO HAVE",5
3435,v000671b,OTHER (SPECIFY) (VOL),7
4385,v000671b,"NA. INAP, R selected for L6",0
5279,v000671b,DK,8
6221,v000671b,RF,9
1539,v000672,STRONGLY,1
2475,v000672,NOT STRONGLY,5
3436,v000672,"NA. INAP, 5,7,8,9 or NA in L6 or L6.E",0
4386,v000672,DK,8
1540,v000673,STRONGLY,1
2476,v000673,NOT STRONGLY,5
3437,v000673,"NA. INAP, 1,7,8,9 or NA in L6 or L6.E",0
4387,v000673,DK,8
5280,v000673,RF,9
1541,v000674,"Yes, they should have to have affirma",1
2477,v000674,"No, they should not have to have affi",5
3438,v000674,Other,7
4388,v000674,DK,8
5281,v000674,RF,9
1542,v000674a,Strongly - should have to have affirm,1
2478,v000674a,Not strongly - should have to have af,2
3439,v000674a,Not strongly - shouldn't have to have,4
4389,v000674a,Strongly - shouldn't have to have aff,5
5282,v000674a,Other,7
6222,v000674a,DK,8
7158,v000674a,RF,9
1543,v000675,INCREASED,1
2479,v000675,DECREASED,3
3440,v000675,KEPT ABOUT THE SAME,5
4390,v000675,CUT OUT ENTIRELY (VOL),7
5283,v000675,DK,8
1544,v000676,INCREASED,1
2480,v000676,DECREASED,3
3441,v000676,KEPT ABOUT THE SAME,5
4391,v000676,CUT OUT ENTIRELY (VOL),7
5284,v000676,DK,8
6223,v000676,RF,9
1545,v000677,INCREASED,1
2481,v000677,DECREASED,3
3442,v000677,KEPT ABOUT THE SAME,5
4392,v000677,CUT OUT ENTIRELY (VOL),7
5285,v000677,DK,8
1546,v000678,INCREASED,1
2482,v000678,DECREASED,3
3443,v000678,KEPT ABOUT THE SAME,5
4393,v000678,CUT OUT ENTIRELY (VOL),7
5286,v000678,DK,8
6224,v000678,RF,9
1547,v000679,INCREASED,1
2483,v000679,DECREASED,3
3444,v000679,KEPT ABOUT THE SAME,5
4394,v000679,CUT OUT ENTIRELY (VOL),7
5287,v000679,DK,8
6225,v000679,RF,9
1548,v000680,INCREASED,1
2484,v000680,DECREASED,3
3445,v000680,KEPT ABOUT THE SAME,5
4395,v000680,CUT OUT ENTIRELY (VOL),7
5288,v000680,DK,8
6226,v000680,RF,9
1549,v000681,INCREASED,1
2485,v000681,DECREASED,3
3446,v000681,KEPT ABOUT THE SAME,5
4396,v000681,CUT OUT ENTIRELY (VOL),7
5289,v000681,DK,8
1550,v000682,INCREASED,1
2486,v000682,DECREASED,3
3447,v000682,KEPT ABOUT THE SAME,5
4397,v000682,CUT OUT ENTIRELY (VOL),7
5290,v000682,DK,8
6227,v000682,RF,9
1551,v000683,INCREASED,1
2487,v000683,DECREASED,3
3448,v000683,KEPT ABOUT THE SAME,5
4398,v000683,CUT OUT ENTIRELY (VOL),7
5291,v000683,DK,8
1552,v000684,INCREASED,1
2488,v000684,DECREASED,3
3449,v000684,KEPT ABOUT THE SAME,5
4399,v000684,CUT OUT ENTIRELY (VOL),7
5292,v000684,DK,8
1553,v000685,INCREASED,1
2489,v000685,DECREASED,3
3450,v000685,KEPT ABOUT THE SAME,5
4400,v000685,CUT OUT ENTIRELY (VOL),7
5293,v000685,DK,8
6228,v000685,RF,9
1554,v000686,INCREASED,1
2490,v000686,DECREASED,3
3451,v000686,KEPT ABOUT THE SAME,5
4401,v000686,CUT OUT ENTIRELY (VOL),7
5294,v000686,DK,8
6229,v000686,RF,9
1555,v000687,INCREASED,1
2491,v000687,DECREASED,3
3452,v000687,KEPT ABOUT THE SAME,5
4402,v000687,CUT OUT ENTIRELY (VOL),7
5295,v000687,DK,8
6230,v000687,RF,9
1556,v000688,APPROVE,1
2492,v000688,DISAPPROVE,5
3453,v000688,DON'T KNOW,8
4403,v000688,RF,9
1557,v000689,STRONGLY,1
2493,v000689,NOT STRONGLY,5
3454,v000689,"NA. INAP, 8,9,0 in L8",0
4404,v000689,DK,8
1558,v000690,Approve strongly,1
2494,v000690,Approve not strongly,2
3455,v000690,Disapprove not strongly,4
4405,v000690,Disapprove strongly,5
5296,v000690,DK,8
6231,v000690,RF,9
1559,v000691,APPROVE,1
2495,v000691,DISAPPROVE,5
3456,v000691,DON'T KNOW,8
4406,v000691,RF,9
1560,v000692,STRONGLY,1
2496,v000692,NOT STRONGLY,5
3457,v000692,"NA. INAP, 8,9,0 in L9",0
4407,v000692,DK,8
1561,v000693,Approve strongly,1
2497,v000693,Approve not strongly,2
3458,v000693,Disapprove not strongly,4
4408,v000693,Disapprove strongly,5
5297,v000693,DK,8
6232,v000693,RF,9
1562,v000694,"BY LAW, ABORTION SHOULD NEVER BE PERM",1
2498,v000694,THE LAW SHOULD PERMIT ABORTION ONLY I,2
3459,v000694,THE LAW SHOULD PERMIT ABORTION FOR RE,3
4409,v000694,"BY LAW, A WOMAN SHOULD ALWAYS BE ABLE",4
5298,v000694,OTHER (SPECIFY) (VOL),7
7159,v000694,DK,8
8110,v000694,RF,9
1563,v000695,NOT AT ALL IMPORTANT,1
2499,v000695,NOT TOO IMPORTANT,2
3460,v000695,SOMEWHAT IMPORTANT,3
4415,v000695,VERY IMPORTANT,4
5299,v000695,EXTREMELY IMPORTANT,5
7160,v000695,DK,8
8111,v000695,RF,9
1564,v000696,"BY LAW, ABORTION SHOULD NEVER BE PERM",1
2500,v000696,THE LAW SHOULD PERMIT ABORTION ONLY I,2
3461,v000696,THE LAW SHOULD PERMIT ABORTION FOR RE,3
4416,v000696,"BY LAW, A WOMAN SHOULD ALWAYS BE ABLE",4
5300,v000696,OTHER (SPECIFY) (VOL),7
7161,v000696,DK,8
8112,v000696,RF,9
1565,v000697,VERY CERTAIN,1
2501,v000697,PRETTY CERTAIN,3
3462,v000697,NOT VERY CERTAIN,5
4417,v000697,"NA. INAP, 8, 9, 0 in M1b/M1b.T",0
5301,v000697,DK,8
1566,v000698,"BY LAW, ABORTION SHOULD NEVER BE PERM",1
2502,v000698,THE LAW SHOULD PERMIT ABORTION ONLY I,2
3463,v000698,THE LAW SHOULD PERMIT ABORTION FOR RE,3
4418,v000698,"BY LAW, A WOMAN SHOULD ALWAYS BE ABLE",4
5302,v000698,OTHER (SPECIFY) (VOL),7
7162,v000698,DK,8
8113,v000698,RF,9
1567,v000699,VERY CERTAIN,1
2503,v000699,PRETTY CERTAIN,3
3464,v000699,NOT VERY CERTAIN,5
4419,v000699,"NA. INAP, 8, 9, 0 in M1c/M1c.T",0
5303,v000699,DK,8
1568,v000700,FAVOR,1
2504,v000700,OPPOSE,5
4420,v000700,DK,8
5304,v000700,RF,9
1569,v000701,STRONGLY,1
2505,v000701,NOT STONGLY,5
3465,v000701,"NA. INAP, 8,9,0 in M2",0
4421,v000701,DK,8
1570,v000702,Favor strongly,1
2506,v000702,Favor not strongly,2
3466,v000702,Oppose not strongly,4
4422,v000702,Oppose strongly,5
6233,v000702,DK,8
7163,v000702,RF,9
1571,v000703,FAVOR,1
2507,v000703,OPPOSE,5
4423,v000703,DK,8
5305,v000703,RF,9
1572,v000704,STRONGLY,1
2508,v000704,NOT STRONGLY,5
3467,v000704,"NA. INAP, 8, 9, 0 in M3",0
4424,v000704,DK,8
1573,v000705,Favor strongly,1
2509,v000705,Favor not strongly,2
3468,v000705,Oppose not strongly,4
4425,v000705,Oppose strongly,5
6234,v000705,DK,8
7164,v000705,RF,9
1574,v000706,FTF standard version (M4a),1
2510,v000706,FTF experimental version (M4a.E),2
3469,v000706,PHONE version 1 (M4a.T),3
4426,v000706,PHONE version 2 (M4a.TE),4
1575,v000707a,"PROTECT ENVIRONMENT, EVEN IF IT COSTS",1
7165,v000707a,JOBS & STANDARD OF LIVING MORE IMPORT,7
8114,v000707a,HAVEN'T THOUGHT MUCH ABOUT THIS,0
970,v000707a,DK,8
1059,v000707a,"RF. NA. INAP, 2, 3, 4 in M4(1)",9
1576,v000707b,"PROTECT ENVIRONMENT, EVEN IF IT COSTS",1
7166,v000707b,JOBS & STANDARD OF LIVING MORE IMPORT,7
8115,v000707b,"NA. INAP, 1, 3, 4 in M4(1)",0
972,v000707b,DK,8
1060,v000707b,RF,9
1577,v000708,"PROTECT ENVIRONMENT, EVEN IF IT COSTS",1
7167,v000708,JOBS & STANDARD OF LIVING MORE IMPORT,7
